Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764879964944,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,6.060606002807617,6.060606002807617,6.25,3.125,3.22580623626709,3.125,6.25,3.22580623626709,9.090909004211426,6.060606002807617,0,3.125,3.3333334922790527,0,12.5,3.22580623626709,6.45161247253418,6.060606002807617,9.375,0,0,1231.81591796875,1031.7415161132813,0,33410260992,0,1860636672,0
199,1764879964944,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,6.060606002807617,6.060606002807617,6.25,3.125,3.22580623626709,3.125,6.25,3.22580623626709,9.090909004211426,6.060606002807617,0,3.125,3.3333334922790527,0,12.5,3.22580623626709,6.45161247253418,6.060606002807617,9.375,0,0,1231.8193969726563,1031.7435913085938,0,33410260992,0,1860636672,0
200,1764879965144,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,20,10,30.000001907348633,10,26.3157901763916,0,31.57894515991211,5.263157844543457,21.052631378173828,21.052631378173828,23.809524536132813,5.263157844543457,35,0,50,0,42.105262756347656,10,28.571430206298828,0,0,1238.50732421875,1038.1371459960938,0,33410260992,0,1967636480,0
199,1764879965344,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,45,15.000000953674316,55,10.526315689086914,60.000003814697266,4.761904716491699,42.85714340209961,19.047618865966797,42.85714340209961,36.842105865478516,30.000001907348633,26.3157901763916,38.095237731933594,11.111111640930176,83.33332824707031,0,20,68.42105102539063,57.894737243652344,0,0,1254.941650390625,1054.2700805664063,0,33410260992,0,2046406656,0
199,1764879965544,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,30.000001907348633,20,47.619049072265625,25,35,10,30.000001907348633,10.526315689086914,28.571430206298828,20,10,28.571430206298828,10.526315689086914,47.619049072265625,35,40,19.047618865966797,63.6363639831543,52.38095474243164,4.761904716491699,0,1272.3369750976563,1071.3607177734375,0,33410260992,0,2134921216,0
199,1764879965745,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,35,38.095237731933594,26.3157901763916,35,60.000003814697266,21.052631378173828,45,25,30.000001907348633,28.571430206298828,30.000001907348633,20,50,25,40,50,65,31.57894515991211,61.904762268066406,20,0,1292.52197265625,1091.2337036132813,0,33410260992,0,2213638144,0
199,1764879965945,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,36.842105865478516,38.88888931274414,19.047618865966797,57.894737243652344,57.142860412597656,25,33.333335876464844,40.90909194946289,33.333335876464844,22.22222328186035,30.000001907348633,42.105262756347656,63.15789031982422,15.789472579956055,45,40,65,30.000001907348633,50,5.263157844543457,0,1314.5742797851563,1112.9576416015625,0,33410260992,0,2342195200,0
199,1764879966145,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,35,65,75,94.73684692382813,80,40,52.38095474243164,68.42105102539063,65,71.42857360839844,80.95238494873047,68.42105102539063,42.85714340209961,85,47.619049072265625,78.94737243652344,78.94737243652344,55,68.42105102539063,85,0,1344.691650390625,1142.6963500976563,0,33410260992,0,2517643264,0
199,1764879966345,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,26.3157901763916,20,85,4.761904716491699,66.66667175292969,9.523809432983398,5.263157844543457,94.73684692382813,31.81818199157715,15.789472579956055,10.526315689086914,15.000000953674316,70,0,30.000001907348633,66.66667175292969,19.047618865966797,73.68421173095703,45,0,0,1367.0518798828125,1164.7156372070313,0,33410260992,0,2606895104,0
199,1764879966545,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,31.57894515991211,35,89.47368621826172,4.761904716491699,45,42.105262756347656,70,15.000000953674316,21.052631378173828,28.571430206298828,9.523809432983398,9.523809432983398,50,33.333335876464844,10.526315689086914,70,10.526315689086914,66.66667175292969,5.263157844543457,23.809524536132813,0,1389.5941162109375,1186.9217529296875,0,33410260992,0,2638516224,0
