Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765570339931,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,5.555555820465088,5.405405521392822,18.421052932739258,5.263157844543457,5.555555820465088,2.702702760696411,5.714285850524902,2.777777910232544,5.555555820465088,2.777777910232544,2.857142925262451,5.405405521392822,5.555555820465088,2.777777910232544,11.428571701049805,5.263157844543457,2.777777910232544,13.88888931274414,5.555555820465088,5.405405521392822,0,2503.2721557617188,2033.2363891601563,0,33410265088,0,1997365248,0
200,1765570339931,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,5.555555820465088,5.405405521392822,18.421052932739258,5.263157844543457,5.555555820465088,2.702702760696411,5.714285850524902,2.777777910232544,5.555555820465088,2.777777910232544,2.857142925262451,5.405405521392822,5.555555820465088,2.777777910232544,11.428571701049805,5.263157844543457,2.777777910232544,13.88888931274414,5.555555820465088,5.405405521392822,0,2503.2982177734375,2033.2608642578125,0,33410265088,0,1997365248,0
199,1765570340131,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,15.000000953674316,10,25,5.263157844543457,10.526315689086914,5,20,15.789472579956055,15.000000953674316,20,19.047618865966797,5.263157844543457,25,0,40,0,76.19047546386719,4.761904716491699,38.095237731933594,0,0,2514.9957885742188,2044.6666870117188,0,33410265088,0,2066411520,0
199,1765570340331,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,21.052631378173828,31.57894515991211,19.047618865966797,47.619049072265625,21.052631378173828,30.000001907348633,50,38.095237731933594,26.3157901763916,25,42.105262756347656,38.095237731933594,35,45,25,44.4444465637207,36.842105865478516,30.000001907348633,26.3157901763916,0,0,2534.0462646484375,2063.4066162109375,0,33410265088,0,2161553408,0
199,1765570340531,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,30.000001907348633,45.45454788208008,16.666667938232422,40,50,10,52.38095474243164,20,25,25,19.047618865966797,27.272727966308594,52.6315803527832,15.000000953674316,40,52.38095474243164,30.000001907348633,47.36842346191406,31.57894515991211,20,0,2553.8865356445313,2082.9375610351563,0,33410265088,0,2245341184,0
199,1765570340731,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,21.052631378173828,57.894737243652344,47.36842346191406,57.142860412597656,85.71428680419922,36.842105865478516,70,65,55,36.842105865478516,40,31.57894515991211,59.09090805053711,40.90909194946289,45,42.105262756347656,65,35,23.809524536132813,95,0,2579.6912231445313,2108.3941650390625,0,33410265088,0,2384351232,0
200,1765570340931,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,33.333335876464844,47.36842346191406,28.571430206298828,57.894737243652344,35,27.272727966308594,38.095237731933594,61.904762268066406,35,42.85714340209961,27.77777862548828,42.105262756347656,35,25,63.15789031982422,23.809524536132813,31.57894515991211,42.85714340209961,20,80,0,2601.671630859375,2130.042724609375,0,33410265088,0,2408996864,0
199,1765570341132,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,40,52.38095474243164,66.66667175292969,71.42857360839844,55,50,44.4444465637207,61.904762268066406,57.894737243652344,61.11111068725586,52.6315803527832,65,57.894737243652344,63.15789031982422,75,60.000003814697266,68.42105102539063,57.894737243652344,63.15789031982422,78.94737243652344,0,2629.5881958007813,2157.5985107421875,0,33410265088,0,2665222144,0
199,1765570341332,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,42.105262756347656,40,63.15789031982422,25,35,40,10.526315689086914,68.42105102539063,47.36842346191406,40.90909194946289,35,15.000000953674316,55,40,40,47.36842346191406,52.38095474243164,50,57.894737243652344,38.095237731933594,0,2653.966796875,2181.6266479492188,0,33410265088,0,2752204800,0
199,1765570341532,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,36.842105865478516,63.15789031982422,95,0,84.21052551269531,0,19.047618865966797,80,28.571430206298828,16.666667938232422,30.000001907348633,10,26.3157901763916,50,10,100,4.761904716491699,80,90,0,0,2679.766845703125,2207.0701293945313,0,33410265088,0,2792579072,0
199,1765570341732,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,13.636363983154297,65,30.000001907348633,5,35,0,14.285715103149414,10,5,13.636363983154297,5,4.761904716491699,10,5,10,76.19047546386719,0,95.23809814453125,61.904762268066406,0,0,2695.70458984375,2222.686279296875,0,33410265088,0,2853654528,0
199,1765570341932,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,10.526315689086914,30.000001907348633,15.000000953674316,10,33.333335876464844,15.000000953674316,31.57894515991211,0,15.789472579956055,10.526315689086914,5.263157844543457,15.000000953674316,60.000003814697266,5,10,35,50,10,40,4.761904716491699,0,2710.1539916992188,2236.8259887695313,0,33410265088,0,2855444480,0
199,1765570342133,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,10,0,10,5,10,0,9.523809432983398,0,9.523809432983398,5,17.39130401611328,5,21.052631378173828,5.263157844543457,52.38095474243164,5.263157844543457,25,14.285715103149414,31.57894515991211,10.526315689086914,0,2719.6094970703125,2245.988037109375,0,33410265088,0,2867834880,0
199,1765570342333,800,800,711,799,800,800,800,800,800,799,799,800,799,800,799,800,800,800,799,800,5,19.047618865966797,5.263157844543457,5.263157844543457,5,10,19.047618865966797,0,5,5,5,14.285715103149414,15.789472579956055,10,15.000000953674316,15.789472579956055,36.842105865478516,15.789472579956055,20,4.761904716491699,0,2729.1151733398438,2255.2027587890625,0,33410265088,0,2907131904,0
